panId,iRms,created
0013A20040B09A44,14.4,2016-12-10T18:38:17.912Z
0013A20040B09A44,1.67,2016-12-10T18:38:28.194Z
0013A20040B09A44,1.66,2016-12-10T18:42:05.725Z
0013A20040B09A44,1.67,2016-12-10T18:42:14.446Z
0013A20040B09A44,1.66,2016-12-10T18:42:24.724Z
0013A20040B09A44,1.67,2016-12-10T18:43:05.863Z
0013A20040B09A44,0.12,2016-12-10T18:44:19.609Z
0013A20040B09A44,0.12,2016-12-10T18:44:59.056Z
0013A20040B09A44,0.12,2016-12-10T18:45:10.916Z
0013A20040B09A44,0.12,2016-12-10T18:45:21.210Z
0013A20040B09A44,0.12,2016-12-10T18:46:11.270Z
0013A20040B09A44,0.12,2016-12-10T18:46:31.750Z
0013A20040B09A44,0.11,2016-12-10T18:46:43.565Z
0013A20040B09A44,0.12,2016-12-10T18:46:52.349Z
0013A20040B09A44,0.11,2016-12-10T18:47:14.693Z
0013A20040B09A44,0.11,2016-12-10T18:47:35.052Z
0013A20040B09A44,0.12,2016-12-10T18:47:43.821Z
0013A20040B09A44,0.11,2016-12-10T18:47:54.075Z
0013A20040B09A44,0.11,2016-12-10T18:48:25.133Z
0013A20040B09A44,0.11,2016-12-10T18:48:36.890Z
0013A20040B09A44,0.11,2016-12-10T18:49:06.158Z
0013A20040B09A44,0.11,2016-12-10T18:49:28.481Z
0013A20040B09A44,0.1,2016-12-10T18:49:57.763Z
0013A20040B09A44,0.11,2016-12-10T18:50:09.721Z
0013A20040B09A44,0.11,2016-12-10T18:50:59.427Z
0013A20040B09A44,0.11,2016-12-10T18:51:09.723Z
0013A20040B09A44,0.1,2016-12-10T18:51:20.023Z
0013A20040B09A44,0.1,2016-12-10T18:51:29.270Z
0013A20040B09A44,0.1,2016-12-10T18:51:40.615Z
0013A20040B09A44,0.1,2016-12-10T18:51:49.350Z
0013A20040B09A44,0.1,2016-12-10T18:51:59.645Z
0013A20040B09A44,0.11,2016-12-10T18:52:09.945Z
0013A20040B09A44,0.11,2016-12-10T18:52:20.252Z
0013A20040B09A44,0.1,2016-12-10T18:52:30.534Z
0013A20040B09A44,0.11,2016-12-10T18:52:40.832Z
0013A20040B09A44,0.11,2016-12-10T18:52:51.127Z
0013A20040B09A44,0.11,2016-12-10T18:53:01.428Z
0013A20040B09A44,0.11,2016-12-10T18:53:11.723Z
0013A20040B09A44,0.11,2016-12-10T18:53:22.019Z
0013A20040B09A44,0.11,2016-12-10T18:53:32.318Z
0013A20040B09A44,0.11,2016-12-10T18:53:42.614Z
0013A20040B09A44,0.1,2016-12-10T18:53:52.910Z
0013A20040B09A44,0.1,2016-12-10T18:54:03.210Z
0013A20040B09A44,0.1,2016-12-10T18:54:13.522Z
0013A20040B09A44,0.1,2016-12-10T18:54:23.867Z
0013A20040B09A44,0.1,2016-12-10T18:54:45.980Z
0013A20040B09A44,0.1,2016-12-10T18:54:56.264Z
0013A20040B09A44,0.1,2016-12-10T18:55:06.562Z
0013A20040B09A44,0.1,2016-12-10T18:55:16.868Z
0013A20040B09A44,0.1,2016-12-10T18:55:27.160Z
0013A20040B09A44,0.1,2016-12-10T18:55:37.459Z
0013A20040B09A44,0.1,2016-12-10T18:55:47.755Z
0013A20040B09A44,0.1,2016-12-10T18:55:58.055Z
0013A20040B09A44,0.1,2016-12-10T18:56:08.350Z
0013A20040B09A44,0.1,2016-12-10T18:56:18.648Z
0013A20040B09A44,0.1,2016-12-10T18:56:28.946Z
0013A20040B09A44,0.1,2016-12-10T18:56:39.241Z
0013A20040B09A44,0.1,2016-12-10T18:56:49.541Z
0013A20040B09A44,0.1,2016-12-10T18:57:10.137Z
0013A20040B09A44,0.1,2016-12-10T18:57:20.436Z
0013A20040B09A44,0.1,2016-12-10T18:57:32.304Z
0013A20040B09A44,0.1,2016-12-10T18:57:41.036Z
0013A20040B09A44,0.09,2016-12-10T18:57:49.875Z
0013A20040B09A44,0.1,2016-12-10T18:58:00.187Z
0013A20040B09A44,0.09,2016-12-10T18:58:10.363Z
0013A20040B09A44,0.1,2016-12-10T18:58:20.660Z
0013A20040B09A44,0.1,2016-12-10T18:58:30.962Z
0013A20040B09A44,0.1,2016-12-10T18:58:41.263Z
0013A20040B09A44,0.1,2016-12-10T18:58:51.561Z
0013A20040B09A44,0.09,2016-12-10T18:59:01.861Z
0013A20040B09A44,0.09,2016-12-10T18:59:12.158Z
0013A20040B09A44,0.09,2016-12-10T18:59:22.457Z
0013A20040B09A44,0.09,2016-12-10T18:59:32.760Z
0013A20040B09A44,0.09,2016-12-10T18:59:43.056Z
0013A20040B09A44,0.09,2016-12-10T18:59:53.356Z
0013A20040B09A44,0.09,2016-12-10T19:00:03.661Z
0013A20040B09A44,0.09,2016-12-10T19:00:13.959Z
0013A20040B09A44,0.09,2016-12-10T19:00:24.255Z
0013A20040B09A44,0.09,2016-12-10T19:00:34.555Z
0013A20040B09A44,0.09,2016-12-10T19:00:44.855Z
0013A20040B09A44,0.09,2016-12-10T19:00:55.154Z
0013A20040B09A44,0.09,2016-12-10T19:01:05.454Z
0013A20040B09A44,0.09,2016-12-10T19:01:15.759Z
0013A20040B09A44,0.09,2016-12-10T19:01:26.054Z
0013A20040B09A44,0.09,2016-12-10T19:01:36.349Z
0013A20040B09A44,0.09,2016-12-10T19:01:46.653Z
0013A20040B09A44,0.09,2016-12-10T19:01:56.950Z
0013A20040B09A44,0.09,2016-12-10T19:02:07.249Z
0013A20040B09A44,0.09,2016-12-10T19:02:17.549Z
0013A20040B09A44,0.09,2016-12-10T19:02:27.853Z
0013A20040B09A44,0.09,2016-12-10T19:02:38.152Z
0013A20040B09A44,0.09,2016-12-10T19:02:48.448Z
0013A20040B09A44,0.08,2016-12-10T19:02:58.747Z
0013A20040B09A44,0.08,2016-12-10T19:03:09.051Z
0013A20040B09A44,0.09,2016-12-10T19:03:19.347Z
0013A20040B09A44,0.08,2016-12-10T19:03:29.645Z
0013A20040B09A44,0.09,2016-12-10T19:03:39.946Z
0013A20040B09A44,0.08,2016-12-10T19:03:50.246Z
0013A20040B09A44,0.09,2016-12-10T19:04:00.545Z
0013A20040B09A44,0.08,2016-12-10T19:04:10.844Z
0013A20040B09A44,0.08,2016-12-10T19:04:21.145Z
0013A20040B09A44,0.09,2016-12-10T19:04:31.444Z
0013A20040B09A44,1.68,2016-12-10T19:04:41.728Z
0013A20040B09A44,1.67,2016-12-10T19:04:52.012Z
0013A20040B09A44,1.66,2016-12-10T19:05:02.297Z
0013A20040B09A44,1.69,2016-12-10T19:05:12.584Z
0013A20040B09A44,1.69,2016-12-10T19:05:22.864Z
0013A20040B09A44,0.1,2016-12-10T19:05:33.164Z
0013A20040B09A44,1.71,2016-12-10T19:05:43.448Z
0013A20040B09A44,1.71,2016-12-10T19:05:53.727Z
0013A20040B09A44,1.67,2016-12-10T19:06:04.011Z
0013A20040B09A44,1.71,2016-12-10T19:06:14.294Z
0013A20040B09A44,1.66,2016-12-10T19:06:24.578Z
0013A20040B09A44,1.66,2016-12-10T19:06:34.862Z
0013A20040B09A44,1.65,2016-12-10T19:06:45.147Z
0013A20040B09A44,1.74,2016-12-10T19:06:55.433Z
0013A20040B09A44,1.65,2016-12-10T19:07:05.718Z
0013A20040B09A44,1.76,2016-12-10T19:07:16.001Z
0013A20040B09A44,1.69,2016-12-10T19:07:26.284Z
0013A20040B09A44,1.67,2016-12-10T19:07:36.568Z
0013A20040B09A44,0.09,2016-12-10T19:07:46.871Z
0013A20040B09A44,0.08,2016-12-10T19:07:58.731Z
0013A20040B09A44,1.66,2016-12-10T19:08:07.444Z
0013A20040B09A44,1.76,2016-12-10T19:08:17.727Z
0013A20040B09A44,1.79,2016-12-10T19:08:28.011Z
0013A20040B09A44,1.77,2016-12-10T19:08:38.420Z
0013A20040B09A44,1.66,2016-12-10T19:08:48.576Z
0013A20040B09A44,1.66,2016-12-10T19:08:58.861Z
0013A20040B09A44,1.66,2016-12-10T19:09:09.145Z
0013A20040B09A44,1.64,2016-12-10T19:09:19.433Z
0013A20040B09A44,1.65,2016-12-10T19:09:29.717Z
0013A20040B09A44,1.77,2016-12-10T19:09:39.996Z
0013A20040B09A44,1.73,2016-12-10T19:09:50.405Z
0013A20040B09A44,1.76,2016-12-10T19:10:00.572Z
0013A20040B09A44,1.72,2016-12-10T19:10:10.852Z
0013A20040B09A44,1.65,2016-12-10T19:10:21.137Z
0013A20040B09A44,1.72,2016-12-10T19:10:31.420Z
0013A20040B09A44,1.66,2016-12-10T19:10:41.707Z
0013A20040B09A44,1.66,2016-12-10T19:10:51.991Z
0013A20040B09A44,1.75,2016-12-10T19:11:02.274Z
0013A20040B09A44,1.75,2016-12-10T19:11:12.558Z
0013A20040B09A44,1.74,2016-12-10T19:11:22.843Z
0013A20040B09A44,1.66,2016-12-10T19:11:33.190Z
0013A20040B09A44,1.66,2016-12-10T19:11:36.262Z
0013A20040B09A44,1.65,2016-12-10T19:12:05.552Z
0013A20040B09A44,1.65,2016-12-10T19:12:15.832Z
0013A20040B09A44,1.7,2016-12-10T19:12:26.132Z
0013A20040B09A44,1.66,2016-12-10T19:12:36.402Z
0013A20040B09A44,1.7,2016-12-10T19:12:46.686Z
0013A20040B09A44,1.65,2016-12-10T19:12:56.972Z
0013A20040B09A44,1.66,2016-12-10T19:13:05.807Z
0013A20040B09A44,1.76,2016-12-10T19:13:15.972Z
0013A20040B09A44,1.74,2016-12-10T19:13:27.886Z
0013A20040B09A44,1.66,2016-12-10T19:13:39.673Z
0013A20040B09A44,1.65,2016-12-10T19:13:47.354Z
0013A20040B09A44,1.65,2016-12-10T19:13:57.109Z
0013A20040B09A44,1.71,2016-12-10T19:14:07.393Z
0013A20040B09A44,1.7,2016-12-10T19:14:17.685Z
0013A20040B09A44,1.65,2016-12-10T19:14:27.961Z
0013A20040B09A44,1.7,2016-12-10T19:14:39.963Z
0013A20040B09A44,1.67,2016-12-10T19:14:50.096Z
0013A20040B09A44,1.68,2016-12-10T19:15:00.624Z
0013A20040B09A44,1.7,2016-12-10T19:15:10.669Z
0013A20040B09A44,1.65,2016-12-10T19:15:20.952Z
0013A20040B09A44,1.64,2016-12-10T19:15:31.239Z
0013A20040B09A44,1.68,2016-12-10T19:15:41.517Z
0013A20040B09A44,1.69,2016-12-10T19:15:51.866Z
0013A20040B09A44,1.64,2016-12-10T19:16:12.378Z
0013A20040B09A44,1.71,2016-12-10T19:16:22.658Z
0013A20040B09A44,1.69,2016-12-10T19:16:32.941Z
0013A20040B09A44,1.65,2016-12-10T19:16:43.225Z
0013A20040B09A44,1.66,2016-12-10T19:16:53.506Z
0013A20040B09A44,1.7,2016-12-10T19:17:03.794Z
0013A20040B09A44,1.68,2016-12-10T19:17:14.074Z
0013A20040B09A44,1.66,2016-12-10T19:17:24.357Z
0013A20040B09A44,1.71,2016-12-10T19:17:34.638Z
0013A20040B09A44,1.71,2016-12-10T19:17:44.927Z
0013A20040B09A44,1.69,2016-12-10T19:17:55.207Z
0013A20040B09A44,1.65,2016-12-10T19:18:05.488Z
0013A20040B09A44,1.69,2016-12-10T19:18:15.775Z
0013A20040B09A44,1.69,2016-12-10T19:18:26.114Z
0013A20040B09A44,1.68,2016-12-10T19:18:34.890Z
0013A20040B09A44,1.69,2016-12-10T19:18:48.194Z
0013A20040B09A44,1.69,2016-12-10T19:19:07.197Z
0013A20040B09A44,1.65,2016-12-10T19:19:17.517Z
0013A20040B09A44,1.7,2016-12-10T19:19:27.767Z
0013A20040B09A44,1.69,2016-12-10T19:19:38.048Z
0013A20040B09A44,1.65,2016-12-10T19:19:48.385Z
0013A20040B09A44,1.71,2016-12-10T19:19:58.625Z
0013A20040B09A44,1.67,2016-12-10T19:20:08.906Z
0013A20040B09A44,1.66,2016-12-10T19:20:19.187Z
0013A20040B09A44,1.65,2016-12-10T19:20:29.471Z
0013A20040B09A44,1.69,2016-12-10T19:20:39.865Z
0013A20040B09A44,1.7,2016-12-10T19:20:50.046Z
0013A20040B09A44,1.74,2016-12-10T19:21:00.324Z
0013A20040B09A44,1.66,2016-12-10T19:21:10.607Z
0013A20040B09A44,1.66,2016-12-10T19:21:19.430Z
0013A20040B09A44,1.69,2016-12-10T19:21:29.606Z
0013A20040B09A44,1.72,2016-12-10T19:21:39.893Z
0013A20040B09A44,1.65,2016-12-10T19:21:50.190Z
0013A20040B09A44,1.66,2016-12-10T19:22:00.461Z
0013A20040B09A44,1.7,2016-12-10T19:22:10.744Z
0013A20040B09A44,1.73,2016-12-10T19:22:21.029Z
0013A20040B09A44,1.67,2016-12-10T19:22:31.312Z
0013A20040B09A44,1.64,2016-12-10T19:22:43.166Z
0013A20040B09A44,1.73,2016-12-10T19:22:52.721Z
0013A20040B09A44,1.69,2016-12-10T19:23:02.171Z
0013A20040B09A44,1.69,2016-12-10T19:23:12.451Z
0013A20040B09A44,1.65,2016-12-10T19:23:22.736Z
0013A20040B09A44,1.72,2016-12-10T19:23:33.019Z
0013A20040B09A44,1.65,2016-12-10T19:23:43.302Z
0013A20040B09A44,1.71,2016-12-10T19:24:15.869Z
0013A20040B09A44,1.67,2016-12-10T19:24:26.069Z
0013A20040B09A44,1.7,2016-12-10T19:24:36.300Z
0013A20040B09A44,1.7,2016-12-10T19:24:56.864Z
0013A20040B09A44,1.7,2016-12-10T19:25:07.148Z
0013A20040B09A44,1.68,2016-12-10T19:25:17.431Z
0013A20040B09A44,1.7,2016-12-10T19:25:27.716Z
0013A20040B09A44,1.75,2016-12-10T19:25:37.998Z
0013A20040B09A44,1.7,2016-12-10T19:25:48.280Z
0013A20040B09A44,1.68,2016-12-10T19:25:57.518Z
0013A20040B09A44,1.71,2016-12-10T19:26:07.280Z
0013A20040B09A44,1.71,2016-12-10T19:26:17.566Z
0013A20040B09A44,1.7,2016-12-10T19:26:27.847Z
0013A20040B09A44,1.66,2016-12-10T19:26:39.700Z
0013A20040B09A44,1.68,2016-12-10T19:26:49.982Z
0013A20040B09A44,1.65,2016-12-10T19:27:00.268Z
0013A20040B09A44,1.73,2016-12-10T19:27:10.556Z
0013A20040B09A44,1.74,2016-12-10T19:27:20.832Z
0013A20040B09A44,1.64,2016-12-10T19:27:31.116Z
0013A20040B09A44,1.64,2016-12-10T19:27:32.696Z
0013A20040B09A44,1.66,2016-12-10T19:27:41.403Z
0013A20040B09A44,1.7,2016-12-10T19:27:51.685Z
0013A20040B09A44,1.68,2016-12-10T19:28:01.969Z
0013A20040B09A44,1.68,2016-12-10T19:28:12.255Z
0013A20040B09A44,1.65,2016-12-10T19:28:21.094Z
0013A20040B09A44,1.71,2016-12-10T19:28:31.261Z
0013A20040B09A44,1.68,2016-12-10T19:28:41.542Z
0013A20040B09A44,1.66,2016-12-10T19:28:51.826Z
0013A20040B09A44,1.68,2016-12-10T19:29:02.113Z
0013A20040B09A44,1.7,2016-12-10T19:29:12.509Z
0013A20040B09A44,1.67,2016-12-10T19:29:22.677Z
0013A20040B09A44,1.69,2016-12-10T19:29:34.528Z
0013A20040B09A44,1.68,2016-12-10T19:29:43.341Z
0013A20040B09A44,1.69,2016-12-10T19:29:53.540Z
0013A20040B09A44,1.68,2016-12-10T19:30:03.812Z
0013A20040B09A44,1.69,2016-12-10T19:30:14.102Z
0013A20040B09A44,1.66,2016-12-10T19:30:24.499Z
0013A20040B09A44,1.68,2016-12-10T19:30:34.667Z
0013A20040B09A44,1.66,2016-12-10T19:30:44.953Z
0013A20040B09A44,1.69,2016-12-10T19:30:55.240Z
0013A20040B09A44,1.64,2016-12-10T19:31:05.519Z
0013A20040B09A44,1.69,2016-12-10T19:31:15.803Z
0013A20040B09A44,1.64,2016-12-10T19:31:26.088Z
0013A20040B09A44,1.65,2016-12-10T19:31:36.373Z
0013A20040B09A44,0.11,2016-12-10T19:31:46.665Z
0013A20040B09A44,0.06,2016-12-10T19:31:56.964Z
0013A20040B09A44,0.05,2016-12-10T19:32:07.265Z
0013A20040B09A44,0.06,2016-12-10T19:32:17.564Z
